Product,Franchise Code,Date,Budget COGS,Budget Margin,Budget Profit,Budget Sales,Cogs,Inventory,Margin,Marketing,Profit,Sales,Total Expenses
Caffe Latte,MA435,7/1/2019,50,60,40,110,69,965,81,21,61,168,44
Caffe Latte,MA435,6/1/2019,210,270,200,480,228,1459,262,63,273,548,91
Caffe Latte,MA435,5/1/2019,160,170,110,330,170,1091,171,47,156,382,75
Caffe Latte,MA435,4/1/2019,20,40,0,60,29,169,36,11,-12,73,46
Caffe Latte,MA435,2/1/2019,100,150,120,250,99,766,144,27,156,259,39
Caffe Latte,MA435,1/1/2019,50,70,30,120,53,306,65,20,18,126,53
Caffe Latte,MA801,3/1/2019,90,110,70,200,75,956,90,23,68,176,44
Caffe Latte,SI405,11/1/2019,130,30,-20,160,104,685,28,33,-40,141,55
Caffe Latte,SI405,10/1/2019,60,100,40,160,54,427,75,49,-6,137,79
Caffe Latte,SI405,7/1/2019,10,30,20,40,18,818,27,5,15,48,17
Caffe Latte,SI405,6/1/2019,30,60,40,90,41,236,60,13,37,108,35
Caffe Latte,SI405,3/1/2019,60,80,50,140,60,329,80,19,49,149,47
Caffe Latte,SI405,1/1/2019,60,100,60,160,75,378,114,24,86,201,56
Caffe Latte,SI580,4/1/2019,70,100,70,170,86,300,120,26,104,220,50
Caffe Latte,SI580,2/1/2019,40,50,30,90,42,771,61,11,56,110,23
Caffe Latte,SI918,12/1/2019,210,220,150,430,228,1436,229,63,211,487,87
Caffe Latte,SI918,9/1/2019,50,70,20,120,59,331,73,22,27,141,55
Caffe Latte,SI918,8/1/2019,0,40,30,40,0,774,43,0,46,46,12
Caffe Latte,SI918,5/1/2019,50,80,10,130,65,342,90,58,3,165,88
Caffe Latte,SW281,6/1/2019,40,60,40,100,48,617,62,15,52,117,27
Caffe Latte,SW361,12/1/2019,20,30,0,50,30,104,38,11,-10,72,45
Caffe Latte,SW409,5/1/2019,80,120,100,200,99,766,144,27,157,259,38
Caffe Latte,SW682,10/1/2019,80,140,110,220,77,449,112,21,119,201,32
Caffe Latte,SW682,7/1/2019,10,30,30,40,22,452,34,6,25,60,17
Caffe Latte,SW806,11/1/2019,110,-60,-190,50,121,901,-60,110,-301,65,143
Caffe Latte,SW806,1/1/2019,80,100,60,180,70,957,84,21,62,164,42
Caffe Latte,SW817,8/1/2019,50,70,10,120,54,451,74,49,-6,136,78
Caffe Latte,SW903,9/1/2019,40,60,40,100,49,617,63,16,52,119,28
Caffe Latte,SW956,4/1/2019,110,160,30,270,121,712,169,110,39,309,143
Caffe Latte,SW956,2/1/2019,50,80,50,130,60,329,80,19,49,149,47
Caffe Latte,SW979,3/1/2019,60,90,20,150,65,513,90,58,4,165,87
Caffe Mocha,UN216,7/1/2019,20,30,20,50,19,774,28,5,16,50,17
Caffe Mocha,UN216,5/1/2019,10,30,20,40,18,818,27,5,15,48,17
Caffe Mocha,UN216,4/1/2019,50,90,70,140,65,372,109,20,96,185,44
Caffe Mocha,UN234,11/1/2019,50,90,70,140,50,814,73,14,71,131,25
Caffe Mocha,UN234,1/1/2019,270,370,260,640,234,1282,311,77,298,581,110
Caffe Mocha,UN440,9/1/2019,50,60,20,110,53,306,65,20,18,126,53
Caffe Mocha,UN440,6/1/2019,40,60,10,100,43,256,61,39,-10,111,68
Caffe Mocha,UN513,10/1/2019,80,130,40,210,92,541,128,83,24,234,112
Caffe Mocha,UN513,8/1/2019,30,50,0,80,43,256,61,39,-10,111,68
Caffe Mocha,UN513,2/1/2019,190,210,140,400,170,1073,170,47,145,362,72
Caffe Mocha,UN614,3/1/2019,50,80,50,130,60,329,80,19,49,149,47
Caffe Mocha,UN937,12/1/2019,140,150,100,290,170,1073,170,47,147,362,71
Caffe Mocha,FR505,12/1/2019,50,60,20,110,53,306,65,20,16,126,54
Caffe Mocha,FR505,11/1/2019,50,100,80,150,65,372,109,20,98,185,43
Caffe Mocha,FR505,10/1/2019,30,50,30,80,41,236,60,13,36,108,36
Caffe Mocha,FR505,9/1/2019,20,50,50,70,33,772,48,9,42,86,20
Caffe Mocha,FR505,8/1/2019,80,120,100,200,95,809,137,26,148,247,37
Caffe Mocha,FR505,7/1/2019,200,270,190,470,234,1282,311,77,298,581,110
Caffe Mocha,FR505,6/1/2019,100,150,40,250,121,712,169,110,39,309,143
Caffe Mocha,FR505,5/1/2019,40,60,40,100,49,617,63,16,52,119,28
Caffe Mocha,FR505,4/1/2019,30,60,10,90,43,256,61,39,-12,111,69
Caffe Mocha,FR505,3/1/2019,80,130,110,210,99,766,144,27,156,259,39
Caffe Mocha,FR505,2/1/2019,110,170,120,280,130,945,195,42,180,346,74
Caffe Mocha,FR505,1/1/2019,30,50,30,80,48,617,62,15,50,117,28
Caffe Mocha,IN239,7/1/2019,10,30,20,40,18,818,27,5,15,48,17
Caffe Mocha,IN239,1/1/2019,10,30,30,40,22,452,34,6,25,60,17
Caffe Mocha,IN305,12/1/2019,260,320,240,580,213,942,252,66,243,496,88
Caffe Mocha,IN321,3/1/2019,80,110,80,190,83,613,107,27,101,202,39
Caffe Mocha,IN727,10/1/2019,50,70,50,120,44,618,56,14,43,107,27
Caffe Mocha,IN754,9/1/2019,240,370,250,610,258,2067,387,90,364,687,142
Caffe Mocha,IN772,6/1/2019,90,140,40,230,92,541,128,83,22,234,113
Caffe Mocha,IN813,11/1/2019,70,370,330,440,75,235,395,24,505,501,55
Caffe Mocha,IN850,5/1/2019,60,100,70,160,55,305,75,18,45,139,45
Caffe Mocha,IN850,4/1/2019,120,180,130,300,130,945,195,42,180,346,74
Caffe Mocha,IN850,2/1/2019,80,110,50,190,65,392,90,21,37,165,65
Caffe Mocha,IN941,8/1/2019,320,480,360,800,258,2067,387,90,364,687,142
Caffe Mocha,IT603,12/1/2019,20,40,20,60,28,961,35,8,9,67,29
Caffe Mocha,IT603,11/1/2019,40,50,10,90,33,193,41,12,-7,79,46
Caffe Mocha,IT603,10/1/2019,40,70,60,110,38,772,56,10,50,100,22
Caffe Mocha,IT603,9/1/2019,90,110,50,200,86,484,107,32,62,206,65
Caffe Mocha,IT603,8/1/2019,150,220,140,370,148,844,206,48,171,377,91
Caffe Mocha,IT603,7/1/2019,70,100,70,170,58,331,84,18,65,151,40
Caffe Mocha,IT603,6/1/2019,40,60,30,100,45,366,69,14,34,121,46
Caffe Mocha,IT603,5/1/2019,70,120,80,190,80,640,120,26,93,213,57
Caffe Mocha,IT603,4/1/2019,50,90,50,140,45,366,69,14,36,121,45
Caffe Mocha,IT603,3/1/2019,50,80,50,130,52,357,76,16,56,136,38
Caffe Mocha,IT603,2/1/2019,50,60,10,110,59,331,73,22,27,141,55
Caffe Mocha,IT603,1/1/2019,100,150,120,250,95,809,137,26,148,247,37
Caffe Mocha,JA206,11/1/2019,40,80,50,120,56,382,81,17,61,146,40
Caffe Mocha,JA206,4/1/2019,30,50,40,80,32,817,48,8,42,85,20
Caffe Mocha,JA206,2/1/2019,20,50,10,70,43,256,61,39,-10,111,68
Caffe Mocha,JA206,1/1/2019,60,100,90,160,99,766,144,27,157,259,38
Caffe Mocha,JA360,9/1/2019,10,20,20,30,22,452,34,6,25,60,17
Caffe Mocha,JA360,8/1/2019,50,80,60,130,50,814,73,14,71,131,25
Caffe Mocha,JA360,7/1/2019,190,210,140,400,228,1436,229,63,209,487,88
Caffe Mocha,JA360,6/1/2019,150,220,150,370,234,1282,311,77,300,581,109
Caffe Mocha,JA360,5/1/2019,30,40,10,70,35,191,47,11,13,87,38
Caffe Mocha,JA360,3/1/2019,60,100,80,160,77,449,112,21,117,201,33
Caffe Mocha,JA425,10/1/2019,40,70,40,110,65,372,109,20,98,185,43
Caffe Mocha,JA509,12/1/2019,10,30,20,40,18,818,27,5,16,48,16
Caffe Mocha,NE217,3/1/2019,30,50,40,80,32,817,48,8,42,85,20
Caffe Mocha,NE309,9/1/2019,60,110,60,170,80,640,120,26,92,213,58
Caffe Mocha,NE309,4/1/2019,60,100,90,160,77,449,112,21,119,201,32
Caffe Mocha,NE312,10/1/2019,80,140,90,220,75,549,114,24,88,201,55
Caffe Mocha,NE312,1/1/2019,60,110,70,170,80,640,120,26,93,213,57
Caffe Mocha,NE630,11/1/2019,50,70,50,120,48,617,62,15,52,117,27
Caffe Mocha,NE630,7/1/2019,40,70,50,110,50,814,73,14,71,131,25
Caffe Mocha,NE708,12/1/2019,50,70,40,120,55,305,75,18,43,139,46
Caffe Mocha,NE773,8/1/2019,220,300,200,520,234,1282,311,77,300,581,109
Caffe Mocha,NE773,6/1/2019,160,160,100,320,170,1073,170,47,147,362,71
Caffe Mocha,NE773,5/1/2019,0,50,40,50,0,774,43,0,47,46,11
Caffe Mocha,NE815,2/1/2019,10,30,20,40,19,774,28,5,16,50,17
Caffe Mocha,GR314,6/1/2019,40,70,50,110,56,382,81,17,61,146,40
Caffe Mocha,GR314,4/1/2019,40,80,60,120,42,771,61,11,56,110,23
Caffe Mocha,GR314,2/1/2019,260,270,180,530,228,1436,229,63,211,487,87
Caffe Mocha,GR573,12/1/2019,60,80,60,140,70,957,84,21,61,164,43
Caffe Mocha,GR573,11/1/2019,70,100,60,170,77,423,103,25,76,192,52
Caffe Mocha,GR573,10/1/2019,30,40,10,70,35,191,47,11,12,87,39
Caffe Mocha,GR573,9/1/2019,60,90,40,150,59,331,73,22,27,141,55
Caffe Mocha,GR573,3/1/2019,100,130,100,230,83,613,107,27,101,202,39
Caffe Mocha,GR573,1/1/2019,100,140,110,240,95,809,137,26,147,247,38
Caffe Mocha,GR636,8/1/2019,40,60,50,100,32,817,48,8,43,85,19
Caffe Mocha,GR636,5/1/2019,80,100,60,180,77,423,103,25,74,192,53
Caffe Mocha,GR660,7/1/2019,100,140,80,240,86,484,107,32,61,206,66
Caffe Mocha,UN225,12/1/2019,60,100,70,160,52,357,76,16,56,136,38
Caffe Mocha,UN225,10/1/2019,180,-30,-110,150,148,1071,-26,48,-174,130,91
Caffe Mocha,UN225,2/1/2019,20,30,20,50,23,620,31,7,18,58,19
Caffe Mocha,UN225,1/1/2019,30,40,20,70,28,961,35,8,9,67,29
Caffe Mocha,UN318,11/1/2019,50,90,70,140,47,772,68,13,65,123,24
Caffe Mocha,UN318,8/1/2019,70,100,60,170,75,956,90,23,68,176,44
Caffe Mocha,UN318,7/1/2019,110,150,100,260,104,596,150,33,141,271,55
Caffe Mocha,UN318,4/1/2019,110,160,60,270,92,541,128,83,22,234,113
Caffe Mocha,UN337,9/1/2019,80,110,70,190,86,490,120,26,105,220,49
Caffe Mocha,UN337,6/1/2019,100,20,-20,120,84,625,18,26,-46,109,49
Caffe Mocha,UN504,3/1/2019,50,80,20,130,54,427,75,49,-4,137,78
Caffe Mocha,UN985,5/1/2019,50,60,30,110,62,958,74,19,50,145,40
Caffe Mocha,SP702,9/1/2019,100,160,130,260,99,766,144,27,156,259,39
Caffe Mocha,SP702,8/1/2019,50,80,10,130,65,513,90,58,4,165,87
Caffe Mocha,SP702,7/1/2019,20,30,10,50,35,191,47,11,13,87,38
Caffe Mocha,SP702,6/1/2019,50,70,60,120,77,449,112,21,119,201,32
Caffe Mocha,SP702,4/1/2019,50,80,50,130,80,640,120,26,92,213,58
Caffe Mocha,SP702,3/1/2019,200,260,150,460,240,1391,294,91,251,569,125
Caffe Mocha,SP775,12/1/2019,150,160,100,310,228,1436,229,63,211,487,87
Caffe Mocha,SP775,11/1/2019,20,30,-10,50,30,165,38,11,-10,72,45
Caffe Mocha,SP775,10/1/2019,60,100,50,160,75,549,114,24,88,201,55
Caffe Mocha,SP775,5/1/2019,30,60,40,90,56,382,81,17,61,146,40
Caffe Mocha,SP775,2/1/2019,70,110,70,180,86,490,120,26,105,220,49
Caffe Mocha,SP775,1/1/2019,30,50,30,80,44,618,56,14,45,107,26
Caffe Mocha,ME319,9/1/2019,80,120,90,200,77,449,112,21,117,201,33
Caffe Mocha,ME515,12/1/2019,20,40,30,60,22,452,34,6,25,60,17
Caffe Mocha,ME515,11/1/2019,10,30,10,40,30,165,38,11,-9,72,44
Caffe Mocha,ME515,5/1/2019,50,90,60,140,86,490,120,26,105,220,49
Caffe Mocha,ME515,4/1/2019,20,50,40,70,27,772,39,7,31,70,18
Caffe Mocha,ME515,3/1/2019,40,80,50,120,75,549,114,24,86,201,56
Caffe Mocha,ME563,8/1/2019,150,-150,-220,0,240,1937,-240,91,-508,25,125
Caffe Mocha,ME563,6/1/2019,20,40,0,60,33,193,41,12,-6,79,45
Caffe Mocha,ME563,1/1/2019,40,60,10,100,65,513,90,58,4,165,87
Caffe Mocha,ME641,10/1/2019,0,40,30,40,0,774,43,0,47,46,11
Caffe Mocha,ME712,7/1/2019,40,80,60,120,47,772,68,13,65,123,24
Caffe Mocha,ME712,2/1/2019,40,80,50,120,52,357,76,16,56,136,38
Caffe Mocha,CA203,12/1/2019,40,70,10,110,54,427,75,49,-4,137,78
Caffe Mocha,CA203,9/1/2019,80,130,40,210,92,541,128,83,22,234,113
Caffe Mocha,CA203,5/1/2019,180,200,110,380,240,1454,255,91,194,528,124
Caffe Mocha,CA203,4/1/2019,40,60,50,100,47,772,68,13,64,123,25
Caffe Mocha,CA203,3/1/2019,40,60,30,100,59,331,73,22,27,141,55
Caffe Mocha,CA203,2/1/2019,30,70,40,100,45,366,69,14,36,121,45
Caffe Mocha,CA203,1/1/2019,180,220,160,400,213,942,252,66,243,496,88
Caffe Mocha,GE323,3/1/2019,30,50,30,80,44,618,56,14,45,107,26
Caffe Mocha,GE408,7/1/2019,60,90,50,150,86,484,107,32,61,206,66
Caffe Mocha,GE415,4/1/2019,80,140,110,220,104,596,150,33,141,271,55
Caffe Mocha,CA475,11/1/2019,120,190,120,310,148,844,206,48,171,377,91
Caffe Mocha,CA475,8/1/2019,80,100,40,180,86,484,107,32,62,206,65
